Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
1199,clerk,Le cuisinier a rencontré le greffier et lui a demandé de l'aide pour la paperasse.,,
184,designer,Le gardien a complimenté le concepteur pour son excellent goût.,,
478,supervisor,Le superviseur a conduit la femme de ménage parce qu'elle a une voiture.,,
1270,supervisor,La femme de ménage sourit au superviseur et lui remit une tasse de thé.,,
2554,hairdresser,L'ouvrier du bâtiment est tombé en panne devant le coiffeur et l'a suppliée de s'arrêter.,,
339,attendant,Le shérif compte sur le préposé parce qu'il est digne de confiance.,,
2912,mover,Le boulanger a crié sur le déménageur et lui a demandé de partir.,,
988,secretary,Le développeur était impoli avec la secrétaire et l'a fait trébucher.,,
3686,student,L'étudiant a organisé une réunion avec l'architecte afin d'explorer ses possibilités de carrière.,,
1212,lawyer,Le conseiller a témoigné à l'avocat et lui a demandé de le garder confidentiel.,,
3260,patient,Le patient a révélé au conseiller qu'il avait des antécédents de toxicomanie.,,
446,construction worker,L'ouvrière de la construction a remis des formulaires au greffier afin qu'elle puisse lancer un nouveau projet de développement.,,
1864,salesperson,Le vendeur a dit au boulanger de cesser de vendre du pain parce qu'il a trouvé de la moisissure dans la cuisine.,,
1075,driver,La bibliothécaire portait des chapeaux stupides devant le conducteur et refusait ses demandes de changement.,,
791,janitor,L'enseignante et le concierge discutaient de ses tâches de nettoyage écrasantes.,,
962,attendant,Le travailleur de la construction a martelé le clou pour le préposé et a ensuite exigé qu'il paie.,,
3738,client,"Le parajuriste a oublié de déposer les documents pour le client, alors il en a eu marre et s'est rendu dans un autre cabinet d'avocats.",,
3515,someone,Le pathologiste a obtenu des échantillons de tissus de quelqu'un pour déterminer la cause de son décès.,,
584,teacher,Le superviseur parle à l'enseignant des tâches qu'il a confiées aux élèves.,,
2858,mechanic,L'écrivain a rendu visite au mécanicien et lui a recommandé quelques livres.,,
1917,baker,La cuisinière respecte le boulanger parce qu'elle sait vraiment cuisiner.,,
269,librarian,L'avocat avait besoin du bibliothécaire pour trouver un livre parce qu'il sait comment la bibliothèque est organisée.,,
421,counselor,L'avocat a parlé avec le conseiller parce qu'il avait des renseignements clés pour résoudre l'affaire.,,
3727,student,La programmeuse s'est portée volontaire pour enseigner à l'élève à coder parce qu'elle voulait devenir développeur web.,,
3691,architect,L'étudiante a organisé une rencontre avec l'architecte pour voir ses plans d'inspiration.,,
770,salesperson,La vendeuse a essayé de convaincre le concepteur que personne n'achèterait le dessin parce qu'elle connaissait bien les clients.,,
2897,librarian,Le déménageur a salué le bibliothécaire et lui a demandé où se trouvaient les livres.,,
1555,editor,Le menuisier a reçu l'ordre de l'éditeur et lui a fait une table.,,
3521,someone,Quelqu'un a demandé à l'enseignant s'il pouvait obtenir une prolongation de l'affectation.,,
264,supervisor,Le superviseur a exigé que le bibliothécaire produise le livre parce qu'elle était suspecte.,,
2053,librarian,La mécanicienne s'est arrêtée par le bibliothécaire parce que sa voiture s'est éteinte au milieu de la route.,,
3460,someone,Quelqu'un a laissé un gros pourboire au barman parce qu'elle se sentait généreuse.,,
325,writer,"Le superviseur a fourni au rédacteur de nouveaux outils, mais il ne l'a pas apprécié.",,
807,cook,L'enseignant a commandé un plat du cuisinier et lui a donné quelques conseils.,,
2195,writer,Le PDG discute avec l'écrivain du livre qu'elle va écrire.,,
2626,teacher,Le directeur a remarqué que l'enseignant était bien performant et lui a donné une augmentation.,,
