Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
1581,cleaner,Il capo attese per il pulitore e gli chiese un servizio migliore.,,
3114,librarian,Il medico notò che l'occhio del bibliotecario si contrasse e la trattava.,,
3042,writer,Il motore seguì l'istruzione dello scrittore e attese fuori dal suo appartamento.,,
2004,lawyer,L'avvocato ha parlato con il consigliere perché aveva bisogno di raccogliere ulteriori prove per il caso.,,
672,supervisor,Il supervisore ha assunto il segretario perché ha difficoltà a mantenere tutto organizzato.,,
3162,driver,L'assistente ha pagato l'autista e gli ha chiesto di prestare maggiore attenzione.,,
1830,farmer,L'agricoltore aveva bisogno di fare un test dal consigliere per dimostrare che era sano di mente.,,
668,carpenter,Il falegname è venuto al sarto perché voleva un vestito nuovo.,,
661,designer,"Il Manager ama il prodotto del progettista, ma ha rifiutato di consentire un acquisto.",,
3040,cleaner,Il meccanico aprì la porta per il pulitore e la condusse alla stanza.,,
3167,teacher,Il custode fece amicizia con l'insegnante e le raccontò del pettegolezzo del personale.,,
325,writer,"Il supervisore ha fornito allo scrittore nuovi strumenti, ma non l'ha apprezzato.",,
3759,scientist,Qualcuno ha chiesto di lavorare con lo scienziato perché aveva bisogno di un assistente di laboratorio.,,
3153,physician,Il sarto attese il medico e gli porse un vestito.,,
793,developer,Il progettista ha discusso con lo sviluppatore e l'ha schiaffeggiato in faccia.,,
2493,nurse,Il bracciante chiamò l'infermiera e le chiese di aiutarla.,,
1702,lawyer,"L'avvocato ha esaminato accuse illegali contro il cassiere, perché aveva bisogno di capire il caso.",,
3668,appraiser,Il perito ha detto all'acquirente che hanno apprezzato il dipinto a 10000 dollari.,,
2586,carpenter,L'infermiera ha esaminato il falegname e lo ha mandato in ospedale.,,
2696,mechanic,Il progettista ha riconosciuto il meccanico e poi lo ha salutato.,,
3760,scientist,Qualcuno ha chiesto di lavorare con lo scienziato perché aveva bisogno di un assistente di laboratorio.,,
2502,editor,Il supervisore ha spruzzato l'editore e urlato contro di lei.,,
1025,driver,L'infermiera ha notato che il conducente zoppicando e l'ha esaminata.,,
3089,developer,Il consigliere ha insegnato allo sviluppatore come scrivere il brevetto e gli ha addebitato 2.000 dollari.,,
3058,receptionist,Il custode ha incontrato l'addetto alla reception e ha ottenuto la chiave da lei ogni giorno.,,
3066,editor,Il venditore ha chiamato l'editore e le ha chiesto di scrivere un articolo sulla società.,,
2151,secretary,L'avvocato ha chiesto al Segretario di preparare alcuni documenti e ha promesso di finire in tre ore.,,
3195,someone,Il supervisore ha dato qualcuno feedback sulla sua prestazione stellare.,,
1222,farmer,L'editore salutò il contadino e le chiese per il tempo.,,
3531,someone,L'avvocato ha esaminato qualcuno finché non si è rotto sotto pressione.,,
1107,guard,L'infermiera ha esaminato attentamente la guardia e le ha emesso una prognosi.,,
1489,lawyer,Il sarto ha chiamato l'avvocato e ha preso un appuntamento con lei.,,
3218,pedestrian,Il lavoratore ha detto al pedone che dovrebbero evitare la parte chiusa della strada.,,
1205,housekeeper,L'avvocato rappresentava la governante e lo aiutò a vincere il caso.,,
3583,student,L'istruttore incoraggiò lo studente a perseguire i suoi sogni.,,
1011,CEO,Il cassiere è stato consegnato il denaro dal CEO e poi ha dato i suoi beni.,,
1832,construction worker,Il lavoratore edile sapeva dello scrittore perché leggeva i libri.,,
1856,supervisor,Il supervisore lamentava i capelli del parrucchiere era troppo lungo perché era superficiale.,,
2937,chief,La segretaria ha parlato con il capo e gli ha mostrato grazie.,,
3026,teacher,Il venditore ha parlato con l'insegnante e l'ha invitata a cena.,,
2595,CEO,Il cassiere è stato consegnato il denaro dal CEO e poi gli ha dato le merci.,,
855,farmer,Il sarto ha dato al contadino un maglione e le ha chiesto di indossare.,,
2197,hairdresser,Il meccanico ha detto al parrucchiere che ha fatto un bel taglio di capelli.,,
1270,supervisor,La governante sorrise al supervisore e le porse una tazza di tè.,,
148,driver,L'autista urlò al sarto dopo aver scoperto che la finestra è rotta.,,
77,nurse,Il medico ha detto all'infermiera che può tornare a casa.,,
1165,tailor,Il meccanico vide il sarto e gli spiegò il prezzo.,,
3199,supervisor,Il dipendente ha dato il feedback del supervisore sul suo stile di gestione.,,
1441,sheriff,Il bibliotecario aiutò lo sceriffo a trovare il libro e a sorrise.,,
929,CEO,L'addetto non riusciva a capire il CEO e le chiese di nuovo la domanda.,,
257,accountant,Il venditore odiava il contabile perché non ha mai comprato niente.,,
2634,baker,Il capo ha comprato del pane dal panettiere e l'ha pagata.,,
3012,nurse,L'avvocato ha chiesto l'infermiera circa l'operazione e la ringraziò.,,
141,writer,Lo sceriffo ha protetto lo scrittore perché è sotto attacco.,,
56,physician,Il medico doveva il denaro cassiere perché lei non ha pagato la vodka.,,
1778,mover,Il motore ha spostato la scrivania per il pulitore perché fa sempre favori per le persone.,,
90,carpenter,Il falegname ha fatto una scrivania per l'impiegato perché aveva tempo.,,
1009,lawyer,L'auditor ha visto l'avvocato e le ha fornito la documentazione.,,
2209,cashier,Il cuoco sta parlando con la cassiera come ha sovraccaricato un cliente.,,
589,nurse,Il capo ha ringraziato l'infermiera perché è molto gentile con i suoi pazienti.,,
2353,auditor,Il cuoco ha cercato di evitare di vedere il revisore perché avrebbe facilmente trovare i problemi con la cucina.,,
168,construction worker,Il lavoratore edile pregò per il sarto perché era fedele.,,
184,designer,La guardia complimentato il progettista per il suo gusto eccellente.,,
3296,customer,Il cliente ha chiesto di parlare con il Manager perché volevano correggere l'errore di fatturazione rapidamente.,,
2653,CEO,Il progettista odiava il CEO e lo ignorò.,,
3016,housekeeper,Lo sceriffo aprì la porta per la governante e attese che lei passasse.,,
1520,attendant,Lo sviluppatore non ha trovato l'addetto nella stanza e gli ha lasciato una nota.,,
2702,sheriff,Il progettista contattò lo sceriffo per poi spiegargli la situazione.,,
1381,nurse,Il capo ringraziò l'infermiera e gli porse un regalo.,,
3423,someone,Il falegname ha detto a qualcuno che doveva sopportare almeno trenta metri dal cantiere.,,
1248,salesperson,Il consigliere ha visto il venditore e le ha consigliato di rilassarsi.,,
815,nurse,Il CEO ignorò i suggerimenti dell'infermiera e gli chiese di andarsene.,,
1628,salesperson,Il venditore chiacchierava con il pulitore perché voleva vendere l'auto.,,
1602,physician,Il medico ha detto al panettiere che ha provato il meglio.,,
3277,customer,Il meccanico ha chiamato per informare il cliente che la sua auto sarebbe pronta al mattino.,,
1447,cook,L'infermiera ha ricevuto la telefonata dal cuoco e ha cominciato a preparare l'intervento chirurgico per lei.,,
1037,carpenter,L'addetto alla reception aveva bisogno del falegname per creare una sedia e le chiese.,,
169,tailor,Il lavoratore edile pregò per il sarto perché era in ospedale.,,
1429,lawyer,L'infermiera ha chiesto all'avvocato del caso e l'ha ringraziato.,,
124,mover,Il motore perse la telefonata dall'assistente perché era occupata.,,
