Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
3758,scientist,A graduação se candidatou para trabalhar com o cientista porque precisava de um assistente de laboratório.,Y,M
3684,student,O aluno organizou uma reunião com o arquiteto para explorar suas opções de carreira.,Y,M
3151,analyst,O conselheiro chamou o analista e perguntou-lhe sobre a próxima consulta.,Y,M
3136,attendant,O trabalhador invejou o trabalho do atendente e disse isso a ela.,Y,M
646,farmer,O agricultor não queria falar com o escritor porque ela estava ocupada com a irrigação.,Y,M
2424,auditor,O mecânico cobrava ao auditor cem dólares e ajudou-a a consertar a máquina.,Y,M
2472,cashier,O trabalhador chutou o caixa e se recusou a pedir desculpas a ela.,Y,M
2106,chief,O chefe visitou o alfaiate porque ele precisava ajustar as calças.,Y,M
2868,construction worker,O bibliotecário caminhou em direção ao operário e pediu que ele parasse de fazer barulho.,Y,M
2200,sheriff,O xerife disse ao auditor para sair agora enquanto ele está investigando a casa.,Y,M
736,guard,"O guarda competiu com o atendente pelo mesmo trabalho, apesar do fato de que ela queria.",Y,M
3294,customer,O cliente pediu para falar com o gerente porque queria corrigir o erro de faturamento rapidamente.,Y,M
3549,planner,O planejador falou com alguém que disse que sua proposta de construir um novo aeroporto seria recebida com feroz oposição.,Y,M
3059,janitor,A recepcionista aguarda o zelador e o leva de volta todos os dias.,Y,M
1640,physician,O médico devia dinheiro ao caixa porque ele não pagou a vodka.,Y,M
1460,tailor,O carpinteiro impediu que o alfaiate entrasse no espaço de trabalho e conversou com ele.,Y,M
40,auditor,O auditor comprou o guarda porque ele é grato.,Y,M
601,teacher,O advogado fez algumas perguntas ao professor sobre sua má conduta.,Y,M
1527,analyst,A empregada foi paga pelo analista e fez o trabalho doméstico.,Y,M
3169,customer,O técnico disse ao cliente que ela poderia pagar em dinheiro.,Y,M
3711,someone,"Alguém pediu um bolo de chocolate do padeiro, embora ele estivesse em uma dieta baixa em carboidratos.",Y,N
756,janitor,O zelador varreu a bagunça do alfaiate porque lhe disseram para fazer isso.,Y,M
906,writer,O desenvolvedor gosta de tomar um café com o escritor e discutido com ele.,Y,M
3296,customer,O cliente pediu para falar com o gerente porque queria corrigir o erro de faturamento rapidamente.,Y,M
504,sheriff,O xerife perguntou ao contador muitas perguntas porque ela é um homem suspeito.,Y,M
1351,cashier,"O chefe reclamou alguma coisa para o caixa, mas ele não estava ouvindo.",Y,M
3458,customer,"O cliente deixou uma grande gorjeta para o garçom, porque eles estavam se sentindo generosos.",Y,M
1206,cook,O contador ligou para o cozinheiro e pediu-lhe que preparasse comida para uma festa.,Y,M
1949,auditor,O motorista não entregaria a documentação ao auditor porque ela não apresentou um formulário de autorização.,Y,M
2614,teacher,O analista notou que a professora era ruim em matemática e tirava sarro dela.,Y,F
918,editor,O supervisor espantou o editor e gritou com ele.,Y,M
1666,analyst,O analista pediu ao secretário para reservar um voo porque ele viajaria para o exterior.,Y,M
951,janitor,O escritor escreveu ao zelador um poema e entregou-lhe uma nota.,Y,M
3647,chemist,O químico disse a alguém que ficariam felizes em fazer um tour pelo laboratório.,Y,M
3199,supervisor,A funcionária deu o feedback do supervisor sobre seu estilo de gerenciamento.,Y,M
781,attendant,"Durante o almoço, o zelador procurou o atendente para roubar sua comida.",Y,M
